Quarter,Year,pH,Dox,Temp,TSS,BOD,PO4,NH3,FC,Chloride ,NO3,Cluster
Q1,2018,8.56,12.48,22.72,<1,<1,0.01,0.02,400.00,12.19,5.68,1
Q2,2018,7.90,13.26,20.26,4.00,<1,0.02,<0.017,490.00,10.72,5.68,1
Q3,2018,6.57,10.26,21.95,11.00,1.00,0.03,<0.017,310.00,7.25,5.68,2
Q4,2018,7.57,13.78,19.03,2.00,1.00,0.05,<0.017,140.00,11.46,5.68,1
Q1,2018,7.45,13.05,21.65,2.00,<1,<0.006,<0.017,4300.00,9.91,5.68,1
Q2,2018,7.98,12.32,29.79,1.00,1.00,0.02,<0.017,330.00,6.34,5.68,1
Q3,2018,,,,,,,,,8.19,5.68,2
Q4,2018,8.98,11.92,18.07,3.00,<1,0.05,<0.017,330.00,12.11,5.68,1
Q1,2019,6.14,8.78,21.32,3.00,<1,0.02,<0.017,22.00,6.54,5.68,2
Q2,2019,6.20,8.50,24.81,2.00,1.00,0.03,<0.017,3500.00,5.09,5.68,2
Q3,2019,12.08,14.46,20.43,7.00,<1,0.04,<0.017,1400.00,14.7,5.68,1
Q4,2019,,,,,,,,7000.00,8.22,5.68,2
Q1,2019,6.90,8.73,20.80,3.00,<1,0.02,<0.017,3500.00,7.31,5.68,2
Q2,2019,7.10,9.41,24.27,2.00,1.00,0.03,<0.017,820.00,6.46,5.68,2
Q3,2019,12.00,11.41,20.93,2.00,1.00,0.03,<0.017,840.00,12.51,5.68,1
Q4,2019,,,,,,,,1400.00,8.23,5.68,2
Q1,2020,7.21,10.39,21.02,1.50,1.00,0.03,,4255.00,4.00,32.50,2
Q2,2020,7.34,9.74,22.19,11.00,1.00,0.05,,2400.00,4.00,11.00,2
Q3,2020,5.94,10.21,21.20,14.00,1.00,0.06,,11833.33,5.33,9.27,2
Q4,2020,5.93,11.00,20.45,2.67,1.00,0.02,,30500.00,11.33,5.35,2
Q1,2020,6.81,8.80,22.52,#DIV/0!,1.50,0.02,,3600.00,5.00,22.00,2
Q2,2020,6.99,8.56,21.85,28.00,#DIV/0!,0.08,,2400.00,6.00,4.80,2
Q3,2020,5.82,9.45,20.70,19.50,1.00,0.05,,7433.33,10.33,17.67,2
Q4,2020,5.94,10.36,20.34,2.67,1.33,0.02,,13066.67,11.33,6.01,2
Q1,2021,8.53,9.07,21.37,2.00,1.00,#DIV/0!,,33100.00,9.50,2.11,2
Q2,2021,7.93,7.27,21.05,12.00,1.00,0.05,,22000.00,4.00,1.30,2
Q3,2021,7.05,7.46,22.77,2.00,1.00,0.06,,2300.00,5.00,2.50,2
Q4,2021,7.60,7.18,20.83,10.00,1.00,0.07,,280000.00,6.00,2.30,2
Q1,2021,7.84,8.73,20.76,11.50,1.33,0.10,,21450.00,13.67,1.87,2
Q2,2021,7.67,7.17,20.77,6.00,1.00,0.04,,140000.00,3.00,1.40,2
Q3,2021,6.74,6.91,22.19,1.00,1.00,0.04,,2000.00,4.00,2.70,2
Q4,2021,7.93,7.52,19.88,20.00,1.00,0.05,,240000.00,12.00,2.50,2
Q1,2022,7.56,7.87,20.94,2.00,#DIV/0!,0.02,,1920.00,8.00,0.52,2
Q2,2022,7.15,11.17,22.30,4.00,1.00,0.08,,1100.00,11.00,8.00,2
Q3,2022,7.11,9.52,21.83,10.33,1.00,0.04,,6810.00,6.33,17.65,2
Q4,2022,7.21,9.28,19.90,7.00,1.00,0.03,,285.00,12.50,,2
Q1,2022,7.56,7.87,20.94,2.00,#DIV/0!,0.02,,1920.00,8.00,0.52,2
Q2,2022,7.15,11.17,22.30,4.00,1.00,0.08,,1100.00,11.00,8.00,2
Q3,2022,7.11,9.52,21.83,10.33,1.00,0.04,,6810.00,6.33,17.65,2
Q4,2022,7.21,9.28,19.90,7.00,1.00,0.03,,285.00,12.50,,2
Q1,2023,7.45,8.04,21.54,8.00,1.00,0.03,6.50,5.00,,1370.00,3
Q1,2023,7.07,7.76,21.86,9.50,1.00,0.02,7.00,5.00,,221.67,3
