pH,Dissolved Oxygen,Temperature ,TSS,BOD,PO4,NH3,NO3,Chloride,FC,Total Coliforms,Algal Count,EC,TDS,Salinity,Alkalinity
8.25,6.89,28.31,71.4,3.96,0.27,0.22,0.37,263.91,145.57,616.07,100001,NA,NA,NA,NA
8.06,8.37,28.18,60.2,2.91,0.13,0.14,0.25,222.21,76.42,512.01,10001,NA,NA,NA,NA
7.73,9.04,27.89,53.62,2.67,0.11,0.09,0.16,194.26,62.95,399.19,999,NA,NA,NA,NA
7.32,10.04,27.62,47.47,2.24,0.09,0.07,0.12,174.2,48.18,311.25,999,NA,NA,NA,NA
6.8,7.17,26.35,28.78,2.33,7.62,13.01,25.02,120,10050,24200,NA,NA,NA,NA,NA
6.74,8.62,25.84,23.93,2.95,5.27,8.93,19.63,59.5,7695,11195,NA,NA,NA,NA,NA
6.64,9.76,25.64,18.29,1.9,3.93,6.38,13.75,39,2690,4190,NA,NA,NA,NA,NA
6.36,10.89,25.58,11.44,1.85,2.91,4.43,9.53,18.5,435,735,NA,NA,NA,NA,NA
7.09,9.2,21.85,8.74,1.06,0.05,4.34,10.72,10.45,5346.48,26500,NA,863.27,433.28,388.76,196.42
6.98,10.35,21.29,6.89,0.89,0.15,2.99,7.23,7.98,4245.79,16400,NA,682.62,335.73,296.86,166.88
6.82,11.25,21.04,5.82,0.82,0.03,2.41,5.03,6.89,1523.57,6300,NA,534,278.98,237.42,138.71
6.45,10.84,21.82,8.02,1.07,0.08,1.6,2.88,26.38,806.91,1310,NA,402.94,219.36,213.84,119.68
